30, 46
35, 47
40, 0
45, 0
50, 50
55, 49
60, 48
65, 47
70, 47
75, 47
80, 46
85, 46
90, 46
95, 46
100, 47
105, 47
110, 47
115, 48
120, 49
125, 0
130, 0
135, 0
140, 0
145, 0
150, 0
150, 0
145, 0
140, 0
135, 0
130, 0
125, 0
120, 0
115, 0
110, 49
105, 48
100, 47
95, 47
90, 46
85, 46
80, 46
75, 47
70, 46
65, 47
60, 47
55, 47
50, 48
45, 51
40, 0
35, 0
30, 0
Heading (BEFORE) 0.00, rad
Heading (AFTER) 0.00, rad 
Heading 90.00, deg 
RAW: 42, s: 50, aX: 1.27, aY: -0.08, gZ: 0.01, timeS: 19905.00, heading_rad: -0.00, heading_deg: -0.12
RAW: 43, s: 50, aX: 0.63, aY: 0.31, gZ: 0.06, timeS: 19917.00, heading_rad: -0.00, heading_deg: -0.06
RAW: 44, s: 50, aX: -0.91, aY: 0.76, gZ: -0.02, timeS: 19929.00, heading_rad: -0.00, heading_deg: -0.06
RAW: 45, s: 50, aX: -0.38, aY: -0.24, gZ: -0.11, timeS: 19941.00, heading_rad: -0.00, heading_deg: -0.13
RAW: 46, s: 50, aX: 2.17, aY: -1.28, gZ: -0.11, timeS: 19953.00, heading_rad: -0.00, heading_deg: -0.19
RAW: 47, s: 50, aX: 0.35, aY: 0.01, gZ: -0.03, timeS: 19965.00, heading_rad: -0.00, heading_deg: -0.19
RAW: 48, s: 50, aX: -1.27, aY: 0.53, gZ: 0.02, timeS: 19977.00, heading_rad: -0.00, heading_deg: -0.16
RAW: 49, s: 50, aX: 0.39, aY: 0.29, gZ: -0.06, timeS: 19989.00, heading_rad: -0.00, heading_deg: -0.18
RAW: 50, s: 50, aX: 2.40, aY: -0.04, gZ: -0.08, timeS: 20001.00, heading_rad: -0.00, heading_deg: -0.22
RAW: 51, s: 50, aX: 0.28, aY: -0.76, gZ: -0.04, timeS: 20013.00, heading_rad: -0.00, heading_deg: -0.22
RAW: 52, s: 50, aX: 0.37, aY: -0.30, gZ: -0.00, timeS: 20025.00, heading_rad: -0.00, heading_deg: -0.22
RAW: 53, s: 50, aX: -0.66, aY: 0.17, gZ: -0.05, timeS: 20037.00, heading_rad: -0.00, heading_deg: -0.22
RAW: 54, s: 50, aX: 1.75, aY: 0.23, gZ: -0.10, timeS: 20049.00, heading_rad: -0.00, heading_deg: -0.27
RAW: 55, s: 50, aX: -0.40, aY: -0.43, gZ: -0.04, timeS: 20061.00, heading_rad: -0.00, heading_deg: -0.27
RAW: 56, s: 50, aX: 0.67, aY: -0.03, gZ: -0.02, timeS: 20073.00, heading_rad: -0.00, heading_deg: -0.27
RAW: 57, s: 50, aX: -1.13, aY: 1.20, gZ: 0.02, timeS: 20085.00, heading_rad: -0.00, heading_deg: -0.25
RAW: 58, s: 50, aX: 1.88, aY: 1.70, gZ: -0.01, timeS: 20097.00, heading_rad: -0.00, heading_deg: -0.25
RAW: 59, s: 50, aX: 0.20, aY: -2.06, gZ: 0.07, timeS: 20109.00, heading_rad: -0.00, heading_deg: -0.18
RAW: 60, s: 50, aX: 0.16, aY: -1.02, gZ: -0.01, timeS: 20121.00, heading_rad: -0.00, heading_deg: -0.18
RAW: 61, s: 50, aX: -0.66, aY: 0.03, gZ: -0.02, timeS: 20133.00, heading_rad: -0.00, heading_deg: -0.18
RAW: 62, s: 50, aX: 0.06, aY: 0.14, gZ: -0.08, timeS: 20145.00, heading_rad: -0.00, heading_deg: -0.22
RAW: 63, s: 50, aX: 0.08, aY: -0.57, gZ: -0.06, timeS: 20157.00, heading_rad: -0.00, heading_deg: -0.25
RAW: 64, s: 50, aX: 1.60, aY: -0.15, gZ: 0.04, timeS: 20169.00, heading_rad: -0.00, heading_deg: -0.21
RAW: 65, s: 50, aX: -1.31, aY: 0.72, gZ: 0.08, timeS: 20181.00, heading_rad: -0.00, heading_deg: -0.14
RAW: 66, s: 50, aX: 0.25, aY: 1.07, gZ: -0.06, timeS: 20193.00, heading_rad: -0.00, heading_deg: -0.16
