30, 68
35, 68
40, 0
45, 0
50, 0
55, 0
60, 68
65, 68
70, 68
75, 69
80, 67
85, 67
90, 69
95, 68
100, 68
105, 69
110, 70
115, 70
120, 0
125, 0
130, 0
135, 0
140, 0
145, 0
150, 0
150, 0
145, 0
140, 0
135, 0
130, 0
125, 0
120, 0
115, 0
110, 0
105, 69
100, 69
95, 68
90, 68
85, 68
80, 69
75, 68
70, 68
65, 68
60, 68
55, 69
50, 69
45, 71
40, 0
35, 0
30, 0
Heading (BEFORE) 0.00, rad 
Heading (AFTER) 0.00, rad
Heading 90.00, deg 
RAW: 42, s: 50, aX: -0.38, aY: 1.91, gZ: -0.04, timeS: 14629.00, heading_rad: -0.00, heading_deg: -0.26
RAW: 43, s: 50, aX: -0.39, aY: 0.90, gZ: 0.05, timeS: 14641.00, heading_rad: -0.00, heading_deg: -0.21
RAW: 44, s: 50, aX: 0.10, aY: -1.02, gZ: -0.02, timeS: 14653.00, heading_rad: -0.00, heading_deg: -0.21
RAW: 45, s: 50, aX: 0.02, aY: -1.89, gZ: -0.15, timeS: 14665.00, heading_rad: -0.01, heading_deg: -0.30
RAW: 46, s: 50, aX: 0.52, aY: 0.65, gZ: -0.14, timeS: 14677.00, heading_rad: -0.01, heading_deg: -0.38
RAW: 47, s: 50, aX: 1.58, aY: 1.52, gZ: 0.04, timeS: 14689.00, heading_rad: -0.01, heading_deg: -0.34
RAW: 48, s: 50, aX: 0.05, aY: -0.78, gZ: 0.13, timeS: 14701.00, heading_rad: -0.00, heading_deg: -0.23
RAW: 49, s: 50, aX: -0.31, aY: -0.44, gZ: 0.01, timeS: 14713.00, heading_rad: -0.00, heading_deg: -0.23
RAW: 50, s: 50, aX: -0.95, aY: -0.99, gZ: -0.15, timeS: 14725.00, heading_rad: -0.01, heading_deg: -0.32
RAW: 51, s: 50, aX: 1.54, aY: 1.50, gZ: -0.13, timeS: 14737.00, heading_rad: -0.01, heading_deg: -0.40
RAW: 52, s: 50, aX: 0.90, aY: 0.96, gZ: 0.05, timeS: 14749.00, heading_rad: -0.01, heading_deg: -0.35
RAW: 53, s: 50, aX: -1.54, aY: -1.33, gZ: 0.06, timeS: 14761.00, heading_rad: -0.01, heading_deg: -0.29
RAW: 54, s: 50, aX: 0.05, aY: -0.32, gZ: -0.05, timeS: 14773.00, heading_rad: -0.01, heading_deg: -0.29
RAW: 55, s: 50, aX: 1.13, aY: -0.67, gZ: -0.17, timeS: 14785.00, heading_rad: -0.01, heading_deg: -0.40
RAW: 56, s: 50, aX: 0.08, aY: 1.93, gZ: -0.02, timeS: 14797.00, heading_rad: -0.01, heading_deg: -0.40
RAW: 57, s: 50, aX: 1.50, aY: -1.21, gZ: 0.06, timeS: 14809.00, heading_rad: -0.01, heading_deg: -0.34
RAW: 58, s: 50, aX: -0.79, aY: -1.00, gZ: -0.00, timeS: 14821.00, heading_rad: -0.01, heading_deg: -0.34
RAW: 59, s: 50, aX: -0.87, aY: -0.80, gZ: -0.14, timeS: 14833.00, heading_rad: -0.01, heading_deg: -0.42
RAW: 60, s: 50, aX: 1.63, aY: 0.83, gZ: -0.05, timeS: 14845.00, heading_rad: -0.01, heading_deg: -0.42
RAW: 61, s: 50, aX: 1.66, aY: 0.28, gZ: 0.06, timeS: 14857.00, heading_rad: -0.01, heading_deg: -0.36
